Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,symmetric,symmetric,0.33594680702092966
100% Corpus,4,asymmetric,0.01,0.41009520541347855
100% Corpus,4,asymmetric,0.31,0.5274930794391923
100% Corpus,4,asymmetric,0.61,0.47053950504670145
100% Corpus,4,asymmetric,0.9099999999999999,0.501482386332171
100% Corpus,4,asymmetric,symmetric,0.5534099236079659
100% Corpus,5,0.01,0.01,0.32167631324631263
100% Corpus,5,0.01,0.31,0.4465628056591312
100% Corpus,5,0.01,0.61,0.3193919276272752
100% Corpus,5,0.01,0.9099999999999999,0.5200862785348577
100% Corpus,5,0.01,symmetric,0.35857330339567695
100% Corpus,5,0.31,0.01,0.3531385256551046
100% Corpus,5,0.31,0.31,0.32283203692050677
100% Corpus,5,0.31,0.61,0.3202318364791008
100% Corpus,5,0.31,0.9099999999999999,0.3747310301994304
100% Corpus,5,0.31,symmetric,0.3396953776463788
100% Corpus,5,0.61,0.01,0.36108847634257435
100% Corpus,5,0.61,0.31,0.34566883642866103
100% Corpus,5,0.61,0.61,0.38929456692732595
100% Corpus,5,0.61,0.9099999999999999,0.4360894105478996
100% Corpus,5,0.61,symmetric,0.35630588050218026
100% Corpus,5,0.9099999999999999,0.01,0.35973223516286795
100% Corpus,5,0.9099999999999999,0.31,0.37368522026641543
100% Corpus,5,0.9099999999999999,0.61,0.4313122866797349
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3867484929201539
100% Corpus,5,0.9099999999999999,symmetric,0.3579609734447484
100% Corpus,5,symmetric,0.01,0.3569859982658882
100% Corpus,5,symmetric,0.31,0.31493132800125057
100% Corpus,5,symmetric,0.61,0.31930647843022253
100% Corpus,5,symmetric,0.9099999999999999,0.42606984774010137
100% Corpus,5,symmetric,symmetric,0.34271040615100856
100% Corpus,5,asymmetric,0.01,0.3891215711801372
100% Corpus,5,asymmetric,0.31,0.46147889483610294
100% Corpus,5,asymmetric,0.61,0.4244083235053049
100% Corpus,5,asymmetric,0.9099999999999999,0.4259818984921703
100% Corpus,5,asymmetric,symmetric,0.45268297463674767
100% Corpus,6,0.01,0.01,0.3334265782221351
100% Corpus,6,0.01,0.31,0.35952083450736066
100% Corpus,6,0.01,0.61,0.40033841388784724
100% Corpus,6,0.01,0.9099999999999999,0.43809706287231237
100% Corpus,6,0.01,symmetric,0.339993265203764
100% Corpus,6,0.31,0.01,0.3472055961949017
100% Corpus,6,0.31,0.31,0.3975402246798731
100% Corpus,6,0.31,0.61,0.32424295577746665
100% Corpus,6,0.31,0.9099999999999999,0.3605149691442317
